nohup: ignoring input
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_raymarching/build.ninja...
Building extension module _raymarching...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _raymarching...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_grid_encoder/build.ninja...
Building extension module _grid_encoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _grid_encoder...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_freqencoder/build.ninja...
Building extension module _freqencoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
Namespace(path='/home/wcc/RodinHD/data/fitting_obj_list_300.txt', save_dir='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro', data_root='/home/wcc/RodinHD/data/raw_data_300', O=True, test=False, ray_shuffle=True, workspace='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro', seed=0, iters=5000, lr0=0.02, lr1=0.002, ckpt='latest', num_rays=65536, cuda_ray=True, max_steps=1024, num_steps=512, update_extra_interval=1, upsample_steps=512, max_ray_batch=4096, l1_reg_weight=0.0001, tv_weight=0.01, dist_weight=0.0, iwc_weight=0.1, patch_size=1, fp16=True, cp=False, triplane_channels=32, downscale=1, resolution0=512, resolution1=512, upsample_model_steps=[], grid_size=256, color_space='srgb', preload=True, bound=1.0, scale=0.4, offset=[0, 0, 0], dt_gamma=0.0, min_near=0.2, density_thresh=10, bg_radius=-1, gui=False, W=1920, H=1080, radius=5, fovy=50, max_spp=64, num_train_frames=300, out_loop_eps=90, eval_freq=1, no_tqdm=False, random_noise=False, random_scale=False, error_map=False, clip_text='', rand_pose=-1, start_idx=0, end_idx=1, eval_video=False)
Render using grid size:  256
ninja: no work to do.
Loading extension module _freqencoder...
NeRFNetworkPlus(
  (grid_sample): GridEncoder: input_dim=2 num_levels=3 level_dim=32 resolution=512 -> 512 per_level_scale=1.0000 gridtype=tiled align_corners=True interpolation=linear
  (encoder): FreqEncoder: input_dim=24 degree=2 output_dim=120
  (encoder_sigma): FreqEncoder: input_dim=8 degree=2 output_dim=40
  (encoder_dir): FreqEncoder: input_dim=3 degree=2 output_dim=15
  (color_net): ModuleList(
    (0): Linear(in_features=263, out_features=128, bias=False)
    (1): Linear(in_features=128, out_features=128, bias=False)
    (2): Linear(in_features=128, out_features=3, bias=False)
  )
  (sigma_net): Sequential(
    (0): Linear(in_features=40, out_features=128, bias=True)
    (1): Softplus(beta=1, threshold=20)
    (2): Linear(in_features=128, out_features=129, bias=True)
  )
)
1
Creating triplane as /home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro/1_1_neutral.npy
Generate dataset cost 7.463481187820435 s/avatar.

[INFO] Trainer: ngp | 2024-10-29_15-37-15 | cuda:0 | fp16 | 
/home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro
[INFO] #parameters: 72321
[INFO] Loading latest checkpoint ...
[WARN] No checkpoint found, model randomly initialized.
Creating triplane as /home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro/1_1_neutral.npy
==> Start Training Epoch(random shuffle rays) 1, lr1=0.002000 lr0=0.020000

  0% 0/4800 [00:00<?, ?it/s]
loss=0.1505 (0.1505) xyz.shape=torch.Size([1198080, 3]): :   0% 0/4800 [00:03<?, ?it/s]
loss=0.1505 (0.1505) xyz.shape=torch.Size([1198080, 3]): :   0% 1/4800 [00:03<4:13:28,  3.17s/it]
loss=0.1511 (0.1508) xyz.shape=torch.Size([1198080, 3]): :   0% 1/4800 [00:03<4:13:28,  3.17s/it]
loss=0.1511 (0.1508) xyz.shape=torch.Size([1198080, 3]): :   0% 2/4800 [00:03<1:58:05,  1.48s/it]
loss=0.1367 (0.1461) xyz.shape=torch.Size([1210752, 3]): :   0% 2/4800 [00:03<1:58:05,  1.48s/it]
loss=0.1367 (0.1461) xyz.shape=torch.Size([1210752, 3]): :   0% 3/4800 [00:03<1:15:13,  1.06it/s]
loss=0.1495 (0.1470) xyz.shape=torch.Size([1210368, 3]): :   0% 3/4800 [00:04<1:15:13,  1.06it/s]
loss=0.1495 (0.1470) xyz.shape=torch.Size([1210368, 3]): :   0% 4/4800 [00:04<55:27,  1.44it/s]  
loss=0.1428 (0.1461) xyz.shape=torch.Size([1211136, 3]): :   0% 4/4800 [00:05<55:27,  1.44it/s]
loss=0.1428 (0.1461) xyz.shape=torch.Size([1211136, 3]): :   0% 5/4800 [00:05<1:21:47,  1.02s/it]
loss=0.1407 (0.1452) xyz.shape=torch.Size([1213184, 3]): :   0% 5/4800 [00:05<1:21:47,  1.02s/it]
loss=0.1407 (0.1452) xyz.shape=torch.Size([1213184, 3]): :   0% 6/4800 [00:05<1:02:00,  1.29it/s]
loss=0.1418 (0.1447) xyz.shape=torch.Size([1212160, 3]): :   0% 6/4800 [00:06<1:02:00,  1.29it/s]
loss=0.1418 (0.1447) xyz.shape=torch.Size([1212160, 3]): :   0% 7/4800 [00:06<49:25,  1.62it/s]  
loss=0.1399 (0.1441) xyz.shape=torch.Size([1133824, 3]): :   0% 7/4800 [00:06<49:25,  1.62it/s]
loss=0.1399 (0.1441) xyz.shape=torch.Size([1133824, 3]): :   0% 8/4800 [00:06<40:56,  1.95it/s]
loss=0.1437 (0.1441) xyz.shape=torch.Size([1158656, 3]): :   0% 8/4800 [00:06<40:56,  1.95it/s]
loss=0.1437 (0.1441) xyz.shape=torch.Size([1158656, 3]): :   0% 9/4800 [00:06<35:25,  2.25it/s]
loss=0.1510 (0.1448) xyz.shape=torch.Size([1172992, 3]): :   0% 9/4800 [00:07<35:25,  2.25it/s]
loss=0.1510 (0.1448) xyz.shape=torch.Size([1172992, 3]): :   0% 10/4800 [00:07<37:26,  2.13it/s]
loss=0.1373 (0.1441) xyz.shape=torch.Size([1149568, 3]): :   0% 10/4800 [00:07<37:26,  2.13it/s]
loss=0.1373 (0.1441) xyz.shape=torch.Size([1149568, 3]): :   0% 11/4800 [00:07<33:01,  2.42it/s]
loss=0.1459 (0.1442) xyz.shape=torch.Size([1146624, 3]): :   0% 11/4800 [00:07<33:01,  2.42it/s]
loss=0.1459 (0.1442) xyz.shape=torch.Size([1146624, 3]): :   0% 12/4800 [00:07<30:02,  2.66it/s]
loss=0.1358 (0.1436) xyz.shape=torch.Size([1137920, 3]): :   0% 12/4800 [00:08<30:02,  2.66it/s]
loss=0.1358 (0.1436) xyz.shape=torch.Size([1137920, 3]): :   0% 13/4800 [00:08<27:57,  2.85it/s]
loss=0.1486 (0.1440) xyz.shape=torch.Size([1138432, 3]): :   0% 13/4800 [00:08<27:57,  2.85it/s]
loss=0.1486 (0.1440) xyz.shape=torch.Size([1138432, 3]): :   0% 14/4800 [00:08<26:37,  3.00it/s]
loss=0.1433 (0.1439) xyz.shape=torch.Size([1126656, 3]): :   0% 14/4800 [00:09<26:37,  3.00it/s]
loss=0.1433 (0.1439) xyz.shape=torch.Size([1126656, 3]): :   0% 15/4800 [00:09<36:49,  2.17it/s]
loss=0.1446 (0.1440) xyz.shape=torch.Size([1088768, 3]): :   0% 15/4800 [00:09<36:49,  2.17it/s]
loss=0.1446 (0.1440) xyz.shape=torch.Size([1088768, 3]): :   0% 16/4800 [00:09<32:40,  2.44it/s]
loss=0.1397 (0.1437) xyz.shape=torch.Size([1072384, 3]): :   0% 16/4800 [00:09<32:40,  2.44it/s]
loss=0.1397 (0.1437) xyz.shape=torch.Size([1072384, 3]): :   0% 17/4800 [00:09<27:55,  2.86it/s]
loss=0.1488 (0.1440) xyz.shape=torch.Size([1066752, 3]): :   0% 17/4800 [00:10<27:55,  2.86it/s]
loss=0.1488 (0.1440) xyz.shape=torch.Size([1066752, 3]): :   0% 18/4800 [00:10<24:34,  3.24it/s]
loss=0.1451 (0.1440) xyz.shape=torch.Size([1081856, 3]): :   0% 18/4800 [00:10<24:34,  3.24it/s]
loss=0.1451 (0.1440) xyz.shape=torch.Size([1081856, 3]): :   0% 19/4800 [00:10<22:08,  3.60it/s]
loss=0.1347 (0.1436) xyz.shape=torch.Size([1090560, 3]): :   0% 19/4800 [00:10<22:08,  3.60it/s]
loss=0.1347 (0.1436) xyz.shape=torch.Size([1090560, 3]): :   0% 20/4800 [00:10<29:01,  2.74it/s]
loss=0.1454 (0.1437) xyz.shape=torch.Size([1108608, 3]): :   0% 20/4800 [00:10<29:01,  2.74it/s]
loss=0.1454 (0.1437) xyz.shape=torch.Size([1108608, 3]): :   0% 21/4800 [00:10<25:14,  3.15it/s]
loss=0.1413 (0.1436) xyz.shape=torch.Size([1137024, 3]): :   0% 21/4800 [00:11<25:14,  3.15it/s]
loss=0.1413 (0.1436) xyz.shape=torch.Size([1137024, 3]): :   0% 22/4800 [00:11<22:45,  3.50it/s]
loss=0.1369 (0.1433) xyz.shape=torch.Size([1134848, 3]): :   0% 22/4800 [00:11<22:45,  3.50it/s]
loss=0.1369 (0.1433) xyz.shape=torch.Size([1134848, 3]): :   0% 23/4800 [00:11<20:49,  3.82it/s]
loss=0.1416 (0.1432) xyz.shape=torch.Size([1138432, 3]): :   0% 23/4800 [00:11<20:49,  3.82it/s]
loss=0.1416 (0.1432) xyz.shape=torch.Size([1138432, 3]): :   0% 24/4800 [00:11<19:30,  4.08it/s]
loss=0.1405 (0.1431) xyz.shape=torch.Size([1138816, 3]): :   0% 24/4800 [00:12<19:30,  4.08it/s]
loss=0.1405 (0.1431) xyz.shape=torch.Size([1138816, 3]): :   1% 25/4800 [00:12<24:21,  3.27it/s]
loss=0.1392 (0.1429) xyz.shape=torch.Size([1140736, 3]): :   1% 25/4800 [00:12<24:21,  3.27it/s]
loss=0.1392 (0.1429) xyz.shape=torch.Size([1140736, 3]): :   1% 26/4800 [00:12<21:54,  3.63it/s]
loss=0.1197 (0.1307) xyz.shape=torch.Size([1101824, 3]): :   1% 67/4800 [00:22<20:15,  3.89it/s]
loss=0.1155 (0.1304) xyz.shape=torch.Size([1100416, 3]): :   1% 67/4800 [00:22<20:15,  3.89it/s]
loss=0.1155 (0.1304) xyz.shape=torch.Size([1100416, 3]): :   1% 68/4800 [00:22<18:53,  4.18it/s]
loss=0.1207 (0.1303) xyz.shape=torch.Size([1094912, 3]): :   1% 68/4800 [00:23<18:53,  4.18it/s]
loss=0.1207 (0.1303) xyz.shape=torch.Size([1094912, 3]): :   1% 69/4800 [00:23<17:48,  4.43it/s]
loss=0.1217 (0.1302) xyz.shape=torch.Size([1094016, 3]): :   1% 69/4800 [00:23<17:48,  4.43it/s]
loss=0.1217 (0.1302) xyz.shape=torch.Size([1094016, 3]): :   1% 70/4800 [00:23<17:03,  4.62it/s]
loss=0.1222 (0.1301) xyz.shape=torch.Size([1097344, 3]): :   1% 70/4800 [00:23<17:03,  4.62it/s]
loss=0.1222 (0.1301) xyz.shape=torch.Size([1097344, 3]): :   1% 71/4800 [00:23<22:05,  3.57it/s]
loss=0.1227 (0.1300) xyz.shape=torch.Size([1097856, 3]): :   1% 71/4800 [00:23<22:05,  3.57it/s]
loss=0.1227 (0.1300) xyz.shape=torch.Size([1097856, 3]): :   2% 72/4800 [00:23<20:13,  3.90it/s]
loss=0.1155 (0.1298) xyz.shape=torch.Size([1102080, 3]): :   2% 72/4800 [00:24<20:13,  3.90it/s]
loss=0.1155 (0.1298) xyz.shape=torch.Size([1102080, 3]): :   2% 73/4800 [00:24<18:46,  4.20it/s]
loss=0.1160 (0.1296) xyz.shape=torch.Size([1091200, 3]): :   2% 73/4800 [00:24<18:46,  4.20it/s]
loss=0.1160 (0.1296) xyz.shape=torch.Size([1091200, 3]): :   2% 74/4800 [00:24<17:42,  4.45it/s]
loss=0.1166 (0.1294) xyz.shape=torch.Size([1095552, 3]): :   2% 74/4800 [00:24<17:42,  4.45it/s]
loss=0.1166 (0.1294) xyz.shape=torch.Size([1095552, 3]): :   2% 75/4800 [00:24<16:57,  4.64it/s]
loss=0.1225 (0.1293) xyz.shape=torch.Size([1090816, 3]): :   2% 75/4800 [00:24<16:57,  4.64it/s]
loss=0.1225 (0.1293) xyz.shape=torch.Size([1090816, 3]): :   2% 76/4800 [00:24<22:06,  3.56it/s]
loss=0.1142 (0.1291) xyz.shape=torch.Size([1090176, 3]): :   2% 76/4800 [00:25<22:06,  3.56it/s]
loss=0.1142 (0.1291) xyz.shape=torch.Size([1090176, 3]): :   2% 77/4800 [00:25<20:02,  3.93it/s]
loss=0.1218 (0.1290) xyz.shape=torch.Size([1087744, 3]): :   2% 77/4800 [00:25<20:02,  3.93it/s]
loss=0.1218 (0.1290) xyz.shape=torch.Size([1087744, 3]): :   2% 78/4800 [00:25<18:35,  4.23it/s]
loss=0.1226 (0.1289) xyz.shape=torch.Size([1092608, 3]): :   2% 78/4800 [00:25<18:35,  4.23it/s]
loss=0.1226 (0.1289) xyz.shape=torch.Size([1092608, 3]): :   2% 79/4800 [00:25<17:36,  4.47it/s]
loss=0.1219 (0.1288) xyz.shape=torch.Size([1094272, 3]): :   2% 79/4800 [00:25<17:36,  4.47it/s]
loss=0.1219 (0.1288) xyz.shape=torch.Size([1094272, 3]): :   2% 80/4800 [00:25<17:01,  4.62it/s]
loss=0.1233 (0.1288) xyz.shape=torch.Size([1090432, 3]): :   2% 80/4800 [00:26<17:01,  4.62it/s]
loss=0.1233 (0.1288) xyz.shape=torch.Size([1090432, 3]): :   2% 81/4800 [00:26<22:06,  3.56it/s]
loss=0.1169 (0.1286) xyz.shape=torch.Size([1085312, 3]): :   2% 81/4800 [00:26<22:06,  3.56it/s]
loss=0.1169 (0.1286) xyz.shape=torch.Size([1085312, 3]): :   2% 82/4800 [00:26<20:00,  3.93it/s]
loss=0.1191 (0.1285) xyz.shape=torch.Size([1089792, 3]): :   2% 82/4800 [00:26<20:00,  3.93it/s]
loss=0.1191 (0.1285) xyz.shape=torch.Size([1089792, 3]): :   2% 83/4800 [00:26<18:46,  4.19it/s]
loss=0.1224 (0.1284) xyz.shape=torch.Size([1088128, 3]): :   2% 83/4800 [00:26<18:46,  4.19it/s]
loss=0.1224 (0.1284) xyz.shape=torch.Size([1088128, 3]): :   2% 84/4800 [00:26<17:48,  4.41it/s]
loss=0.1192 (0.1283) xyz.shape=torch.Size([1090176, 3]): :   2% 84/4800 [00:26<17:48,  4.41it/s]
loss=0.1192 (0.1283) xyz.shape=torch.Size([1090176, 3]): :   2% 85/4800 [00:26<17:09,  4.58it/s]
loss=0.1148 (0.1282) xyz.shape=torch.Size([1091840, 3]): :   2% 85/4800 [00:27<17:09,  4.58it/s]
loss=0.1148 (0.1282) xyz.shape=torch.Size([1091840, 3]): :   2% 86/4800 [00:27<22:34,  3.48it/s]
loss=0.1200 (0.1281) xyz.shape=torch.Size([1084800, 3]): :   2% 86/4800 [00:27<22:34,  3.48it/s]
loss=0.1200 (0.1281) xyz.shape=torch.Size([1084800, 3]): :   2% 87/4800 [00:27<20:35,  3.82it/s]
loss=0.1185 (0.1280) xyz.shape=torch.Size([1087872, 3]): :   2% 87/4800 [00:27<20:35,  3.82it/s]
loss=0.1185 (0.1280) xyz.shape=torch.Size([1087872, 3]): :   2% 88/4800 [00:27<19:08,  4.10it/s]
loss=0.1165 (0.1278) xyz.shape=torch.Size([1077376, 3]): :   2% 88/4800 [00:28<19:08,  4.10it/s]
loss=0.1165 (0.1278) xyz.shape=torch.Size([1077376, 3]): :   2% 89/4800 [00:28<18:06,  4.33it/s]
loss=0.1205 (0.1278) xyz.shape=torch.Size([1076608, 3]): :   2% 89/4800 [00:28<18:06,  4.33it/s]
loss=0.1205 (0.1278) xyz.shape=torch.Size([1076608, 3]): :   2% 90/4800 [00:28<17:31,  4.48it/s]
loss=0.1246 (0.1277) xyz.shape=torch.Size([1075200, 3]): :   2% 90/4800 [00:28<17:31,  4.48it/s]
loss=0.1246 (0.1277) xyz.shape=torch.Size([1075200, 3]): :   2% 91/4800 [00:28<23:19,  3.37it/s]
loss=0.1224 (0.1277) xyz.shape=torch.Size([1073408, 3]): :   2% 91/4800 [00:28<23:19,  3.37it/s]
loss=0.1224 (0.1277) xyz.shape=torch.Size([1073408, 3]): :   2% 92/4800 [00:28<21:09,  3.71it/s]
loss=0.1135 (0.1275) xyz.shape=torch.Size([1077120, 3]): :   2% 92/4800 [00:29<21:09,  3.71it/s]
loss=0.1135 (0.1275) xyz.shape=torch.Size([1077120, 3]): :   2% 93/4800 [00:29<19:53,  3.94it/s]
loss=0.1093 (0.1273) xyz.shape=torch.Size([1070208, 3]): :   2% 93/4800 [00:29<19:53,  3.94it/s]
loss=0.1093 (0.1273) xyz.shape=torch.Size([1070208, 3]): :   2% 94/4800 [00:29<18:40,  4.20it/s]
loss=0.1192 (0.1272) xyz.shape=torch.Size([1070592, 3]): :   2% 94/4800 [00:29<18:40,  4.20it/s]
loss=0.1192 (0.1272) xyz.shape=torch.Size([1070592, 3]): :   2% 95/4800 [00:29<17:49,  4.40it/s]
loss=0.1210 (0.1272) xyz.shape=torch.Size([1068544, 3]): :   2% 95/4800 [00:29<17:49,  4.40it/s]
loss=0.1210 (0.1272) xyz.shape=torch.Size([1068544, 3]): :   2% 96/4800 [00:29<17:11,  4.56it/s]
loss=0.1176 (0.1271) xyz.shape=torch.Size([1073792, 3]): :   2% 96/4800 [00:30<17:11,  4.56it/s]
loss=0.1176 (0.1271) xyz.shape=torch.Size([1073792, 3]): :   2% 97/4800 [00:30<26:59,  2.90it/s]
loss=0.1192 (0.1270) xyz.shape=torch.Size([1073280, 3]): :   2% 97/4800 [00:30<26:59,  2.90it/s]
loss=0.1192 (0.1270) xyz.shape=torch.Size([1073280, 3]): :   2% 98/4800 [00:30<23:35,  3.32it/s]
loss=0.1176 (0.1269) xyz.shape=torch.Size([1069184, 3]): :   2% 98/4800 [00:30<23:35,  3.32it/s]
loss=0.1176 (0.1269) xyz.shape=torch.Size([1069184, 3]): :   2% 99/4800 [00:30<21:11,  3.70it/s]
loss=0.1235 (0.1269) xyz.shape=torch.Size([1062656, 3]): :   2% 99/4800 [00:30<21:11,  3.70it/s]
loss=0.1235 (0.1269) xyz.shape=torch.Size([1062656, 3]): :   2% 100/4800 [00:30<19:39,  3.99it/s]
loss=0.1211 (0.1268) xyz.shape=torch.Size([1067648, 3]): :   2% 100/4800 [00:31<19:39,  3.99it/s]
loss=0.1211 (0.1268) xyz.shape=torch.Size([1067648, 3]): :   2% 101/4800 [00:31<18:24,  4.26it/s]
loss=0.1206 (0.1268) xyz.shape=torch.Size([1066880, 3]): :   2% 101/4800 [00:31<18:24,  4.26it/s]
loss=0.1206 (0.1268) xyz.shape=torch.Size([1066880, 3]): :   2% 102/4800 [00:31<24:58,  3.14it/s]
loss=0.1223 (0.1267) xyz.shape=torch.Size([1060736, 3]): :   2% 102/4800 [00:31<24:58,  3.14it/s]
loss=0.1223 (0.1267) xyz.shape=torch.Size([1060736, 3]): :   2% 103/4800 [00:31<22:07,  3.54it/s]
loss=0.1167 (0.1266) xyz.shape=torch.Size([1059968, 3]): :   2% 103/4800 [00:32<22:07,  3.54it/s]
loss=0.1167 (0.1266) xyz.shape=torch.Size([1059968, 3]): :   2% 104/4800 [00:32<20:07,  3.89it/s]
loss=0.1223 (0.1266) xyz.shape=torch.Size([1058944, 3]): :   2% 104/4800 [00:32<20:07,  3.89it/s]
loss=0.1223 (0.1266) xyz.shape=torch.Size([1058944, 3]): :   2% 105/4800 [00:32<18:40,  4.19it/s]
loss=0.1239 (0.1265) xyz.shape=torch.Size([1057664, 3]): :   2% 105/4800 [00:32<18:40,  4.19it/s]
loss=0.1239 (0.1265) xyz.shape=torch.Size([1057664, 3]): :   2% 106/4800 [00:32<17:39,  4.43it/s]
loss=0.1268 (0.1265) xyz.shape=torch.Size([1051008, 3]): :   2% 106/4800 [00:32<17:39,  4.43it/s]
loss=0.1268 (0.1265) xyz.shape=torch.Size([1051008, 3]): :   2% 107/4800 [00:32<23:30,  3.33it/s]
loss=0.1214 (0.1265) xyz.shape=torch.Size([1052032, 3]): :   2% 107/4800 [00:33<23:30,  3.33it/s]
loss=0.1214 (0.1265) xyz.shape=torch.Size([1052032, 3]): :   2% 108/4800 [00:33<21:00,  3.72it/s]
loss=0.1182 (0.1264) xyz.shape=torch.Size([1051008, 3]): :   2% 108/4800 [00:33<21:00,  3.72it/s]
loss=0.1182 (0.1264) xyz.shape=torch.Size([1051008, 3]): :   2% 109/4800 [00:33<19:16,  4.06it/s]
loss=0.1216 (0.1264) xyz.shape=torch.Size([1048448, 3]): :   2% 109/4800 [00:33<19:16,  4.06it/s]
loss=0.1216 (0.1264) xyz.shape=torch.Size([1048448, 3]): :   2% 110/4800 [00:33<18:03,  4.33it/s]
loss=0.1198 (0.1263) xyz.shape=torch.Size([1047040, 3]): :   2% 110/4800 [00:33<18:03,  4.33it/s]
loss=0.1198 (0.1263) xyz.shape=torch.Size([1047040, 3]): :   2% 111/4800 [00:33<17:10,  4.55it/s]
loss=0.1268 (0.1263) xyz.shape=torch.Size([1046016, 3]): :   2% 111/4800 [00:34<17:10,  4.55it/s]
loss=0.1268 (0.1263) xyz.shape=torch.Size([1046016, 3]): :   2% 112/4800 [00:34<22:02,  3.54it/s]
loss=0.1171 (0.1262) xyz.shape=torch.Size([1043584, 3]): :   2% 112/4800 [00:34<22:02,  3.54it/s]
loss=0.1171 (0.1262) xyz.shape=torch.Size([1043584, 3]): :   2% 113/4800 [00:34<20:00,  3.90it/s]
loss=0.1251 (0.1262) xyz.shape=torch.Size([1041152, 3]): :   2% 113/4800 [00:34<20:00,  3.90it/s]
loss=0.1251 (0.1262) xyz.shape=torch.Size([1041152, 3]): :   2% 114/4800 [00:34<18:30,  4.22it/s]
loss=0.1220 (0.1262) xyz.shape=torch.Size([1041280, 3]): :   2% 114/4800 [00:34<18:30,  4.22it/s]
loss=0.1220 (0.1262) xyz.shape=torch.Size([1041280, 3]): :   2% 115/4800 [00:34<17:27,  4.47it/s]
loss=0.1243 (0.1262) xyz.shape=torch.Size([1039744, 3]): :   2% 115/4800 [00:34<17:27,  4.47it/s]
loss=0.1243 (0.1262) xyz.shape=torch.Size([1039744, 3]): :   2% 116/4800 [00:34<16:43,  4.67it/s]
loss=0.1173 (0.1261) xyz.shape=torch.Size([1041280, 3]): :   2% 116/4800 [00:35<16:43,  4.67it/s]
loss=0.1173 (0.1261) xyz.shape=torch.Size([1041280, 3]): :   2% 117/4800 [00:35<21:45,  3.59it/s]
loss=0.1290 (0.1261) xyz.shape=torch.Size([1034496, 3]): :   2% 117/4800 [00:35<21:45,  3.59it/s]
loss=0.1290 (0.1261) xyz.shape=torch.Size([1034496, 3]): :   2% 118/4800 [00:35<19:43,  3.96it/s]
loss=0.1244 (0.1261) xyz.shape=torch.Size([1037440, 3]): :   2% 118/4800 [00:35<19:43,  3.96it/s]
loss=0.1244 (0.1261) xyz.shape=torch.Size([1037440, 3]): :   2% 119/4800 [00:35<18:19,  4.26it/s]
loss=0.1153 (0.1260) xyz.shape=torch.Size([1034752, 3]): :   2% 119/4800 [00:35<18:19,  4.26it/s]
loss=0.1153 (0.1260) xyz.shape=torch.Size([1034752, 3]): :   2% 120/4800 [00:35<17:20,  4.50it/s]
loss=0.1205 (0.1260) xyz.shape=torch.Size([1031936, 3]): :   2% 120/4800 [00:36<17:20,  4.50it/s]
loss=0.1205 (0.1260) xyz.shape=torch.Size([1031936, 3]): :   3% 121/4800 [00:36<16:37,  4.69it/s]
loss=0.1210 (0.1259) xyz.shape=torch.Size([1031808, 3]): :   3% 121/4800 [00:36<16:37,  4.69it/s]
loss=0.1210 (0.1259) xyz.shape=torch.Size([1031808, 3]): :   3% 122/4800 [00:36<21:56,  3.55it/s]
loss=0.1229 (0.1259) xyz.shape=torch.Size([1024512, 3]): :   3% 122/4800 [00:36<21:56,  3.55it/s]
loss=0.1229 (0.1259) xyz.shape=torch.Size([1024512, 3]): :   3% 123/4800 [00:36<19:50,  3.93it/s]
loss=0.1203 (0.1259) xyz.shape=torch.Size([1023360, 3]): :   3% 123/4800 [00:36<19:50,  3.93it/s]
loss=0.1203 (0.1259) xyz.shape=torch.Size([1023360, 3]): :   3% 124/4800 [00:36<18:23,  4.24it/s]
loss=0.1222 (0.1258) xyz.shape=torch.Size([1024000, 3]): :   3% 124/4800 [00:37<18:23,  4.24it/s]
loss=0.1222 (0.1258) xyz.shape=torch.Size([1024000, 3]): :   3% 125/4800 [00:37<17:25,  4.47it/s]
loss=0.1220 (0.1258) xyz.shape=torch.Size([1016320, 3]): :   3% 125/4800 [00:37<17:25,  4.47it/s]
loss=0.1220 (0.1258) xyz.shape=torch.Size([1016320, 3]): :   3% 126/4800 [00:37<16:39,  4.68it/s]
loss=0.1222 (0.1258) xyz.shape=torch.Size([1017728, 3]): :   3% 126/4800 [00:37<16:39,  4.68it/s]
loss=0.1222 (0.1258) xyz.shape=torch.Size([1017728, 3]): :   3% 127/4800 [00:37<21:41,  3.59it/s]
loss=0.1187 (0.1257) xyz.shape=torch.Size([1011072, 3]): :   3% 127/4800 [00:37<21:41,  3.59it/s]
loss=0.1187 (0.1257) xyz.shape=torch.Size([1011072, 3]): :   3% 128/4800 [00:37<19:37,  3.97it/s]
loss=0.1207 (0.1257) xyz.shape=torch.Size([1011840, 3]): :   3% 128/4800 [00:38<19:37,  3.97it/s]
loss=0.1207 (0.1257) xyz.shape=torch.Size([1011840, 3]): :   3% 129/4800 [00:38<18:11,  4.28it/s]
loss=0.1221 (0.1257) xyz.shape=torch.Size([1012224, 3]): :   3% 129/4800 [00:38<18:11,  4.28it/s]
loss=0.1221 (0.1257) xyz.shape=torch.Size([1012224, 3]): :   3% 130/4800 [00:38<17:11,  4.53it/s]
loss=0.1244 (0.1256) xyz.shape=torch.Size([1007744, 3]): :   3% 130/4800 [00:38<17:11,  4.53it/s]
loss=0.1244 (0.1256) xyz.shape=torch.Size([1007744, 3]): :   3% 131/4800 [00:38<16:29,  4.72it/s]
loss=0.1144 (0.1256) xyz.shape=torch.Size([1011584, 3]): :   3% 131/4800 [00:38<16:29,  4.72it/s]
loss=0.1144 (0.1256) xyz.shape=torch.Size([1011584, 3]): :   3% 132/4800 [00:38<21:48,  3.57it/s]
loss=0.1221 (0.1255) xyz.shape=torch.Size([1007744, 3]): :   3% 132/4800 [00:39<21:48,  3.57it/s]
loss=0.1221 (0.1255) xyz.shape=torch.Size([1007744, 3]): :   3% 133/4800 [00:39<19:41,  3.95it/s]
loss=0.1225 (0.1255) xyz.shape=torch.Size([1008384, 3]): :   3% 133/4800 [00:39<19:41,  3.95it/s]
loss=0.1225 (0.1255) xyz.shape=torch.Size([1008384, 3]): :   3% 134/4800 [00:39<18:12,  4.27it/s]
loss=0.1254 (0.1255) xyz.shape=torch.Size([1008000, 3]): :   3% 134/4800 [00:39<18:12,  4.27it/s]
loss=0.1254 (0.1255) xyz.shape=torch.Size([1008000, 3]): :   3% 135/4800 [00:39<17:17,  4.50it/s]
loss=0.1155 (0.1254) xyz.shape=torch.Size([1002624, 3]): :   3% 135/4800 [00:39<17:17,  4.50it/s]
loss=0.1155 (0.1254) xyz.shape=torch.Size([1002624, 3]): :   3% 136/4800 [00:39<16:33,  4.70it/s]
loss=0.1251 (0.1254) xyz.shape=torch.Size([1000960, 3]): :   3% 136/4800 [00:40<16:33,  4.70it/s]
