nohup: ignoring input
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_raymarching/build.ninja...
Building extension module _raymarching...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _raymarching...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_grid_encoder/build.ninja...
Building extension module _grid_encoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _grid_encoder...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_freqencoder/build.ninja...
Building extension module _freqencoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
Namespace(path='/home/wcc/RodinHD/data/fitting_obj_list_300.txt', save_dir='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus', data_root='/home/wcc/RodinHD/data/raw_data_300', O=True, test=False, ray_shuffle=True, workspace='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus', seed=0, iters=5000, lr0=0.001, lr1=0.0001, ckpt='latest', num_rays=65536, cuda_ray=True, max_steps=1024, num_steps=512, update_extra_interval=16, upsample_steps=512, max_ray_batch=4096, l1_reg_weight=0.0001, tv_weight=0.01, dist_weight=0.0, iwc_weight=0.1, patch_size=1, fp16=True, cp=False, triplane_channels=32, downscale=1, resolution0=512, resolution1=512, upsample_model_steps=[], grid_size=256, color_space='srgb', preload=True, bound=1.0, scale=0.4, offset=[0, 0, 0], dt_gamma=0.0, min_near=0.2, density_thresh=10, bg_radius=-1, gui=False, W=1920, H=1080, radius=5, fovy=50, max_spp=64, num_train_frames=300, out_loop_eps=90, eval_freq=1, no_tqdm=False, random_noise=False, random_scale=False, error_map=False, clip_text='', rand_pose=-1, start_idx=0, end_idx=1, eval_video=False)
Render using grid size:  256
ninja: no work to do.
Loading extension module _freqencoder...
NeRFNetworkPlus(
  (grid_sample): GridEncoder: input_dim=2 num_levels=3 level_dim=32 resolution=512 -> 512 per_level_scale=1.0000 gridtype=tiled align_corners=True interpolation=linear
  (encoder): FreqEncoder: input_dim=24 degree=2 output_dim=120
  (encoder_sigma): FreqEncoder: input_dim=8 degree=2 output_dim=40
  (encoder_dir): FreqEncoder: input_dim=3 degree=2 output_dim=15
  (color_net): ModuleList(
    (0): Linear(in_features=263, out_features=128, bias=False)
    (1): Linear(in_features=128, out_features=128, bias=False)
    (2): Linear(in_features=128, out_features=3, bias=False)
  )
  (sigma_net): Sequential(
    (0): Linear(in_features=40, out_features=128, bias=True)
    (1): Softplus(beta=1, threshold=20)
    (2): Linear(in_features=128, out_features=129, bias=True)
  )
)
1
Loading triplane from /home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus/1_1_neutral.npy
tensor(-6.0571) tensor(-0.0211)
Generate dataset cost 10.26452112197876 s/avatar.

[INFO] Trainer: ngp | 2024-10-29_13-41-45 | cuda:0 | fp16 | 
/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus
[INFO] #parameters: 72321
[INFO] Loading latest checkpoint ...
[INFO] Latest checkpoint is 
/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus/checkpoints/ngp_ep0000.pth
.pth
[INFO] loaded model.
[WARN] missing keys: ['density_grid', 'density_bitfield']
Loading triplane from /home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus/1_1_neutral.npy
tensor(-6.0571) tensor(-0.0211)
==> Start Training Epoch(random shuffle rays) 1, lr1=0.000100 lr0=0.001000

  0% 0/4800 [00:00<?, ?it/s]
loss=0.1544 (0.1544): :   0% 0/4800 [00:02<?, ?it/s]
loss=0.1544 (0.1544): :   0% 1/4800 [00:02<3:59:31,  2.99s/it]
loss=0.1591 (0.1567): :   0% 1/4800 [00:03<3:59:31,  2.99s/it]
loss=0.1591 (0.1567): :   0% 2/4800 [00:03<1:49:47,  1.37s/it]
loss=0.1565 (0.1567): :   0% 2/4800 [00:03<1:49:47,  1.37s/it]
loss=0.1565 (0.1567): :   0% 3/4800 [00:03<1:08:50,  1.16it/s]
loss=0.1547 (0.1562): :   0% 3/4800 [00:03<1:08:50,  1.16it/s]
loss=0.1547 (0.1562): :   0% 4/4800 [00:03<49:09,  1.63it/s]  
loss=0.1520 (0.1553): :   0% 4/4800 [00:04<49:09,  1.63it/s]
loss=0.1520 (0.1553): :   0% 5/4800 [00:04<48:51,  1.64it/s]
loss=0.1615 (0.1563): :   0% 5/4800 [00:04<48:51,  1.64it/s]
loss=0.1615 (0.1563): :   0% 6/4800 [00:04<38:42,  2.06it/s]
loss=0.1583 (0.1566): :   0% 6/4800 [00:04<38:42,  2.06it/s]
loss=0.1583 (0.1566): :   0% 7/4800 [00:04<32:14,  2.48it/s]
loss=0.1516 (0.1560): :   0% 7/4800 [00:05<32:14,  2.48it/s]
loss=0.1516 (0.1560): :   0% 8/4800 [00:05<27:59,  2.85it/s]
loss=0.1593 (0.1564): :   0% 8/4800 [00:05<27:59,  2.85it/s]
loss=0.1593 (0.1564): :   0% 9/4800 [00:05<25:10,  3.17it/s]
loss=0.1579 (0.1565): :   0% 9/4800 [00:05<25:10,  3.17it/s]
loss=0.1579 (0.1565): :   0% 10/4800 [00:05<29:36,  2.70it/s]
loss=0.1528 (0.1562): :   0% 10/4800 [00:06<29:36,  2.70it/s]
loss=0.1528 (0.1562): :   0% 11/4800 [00:06<26:20,  3.03it/s]
loss=0.1515 (0.1558): :   0% 11/4800 [00:06<26:20,  3.03it/s]
loss=0.1515 (0.1558): :   0% 12/4800 [00:06<24:07,  3.31it/s]
loss=0.1477 (0.1552): :   0% 12/4800 [00:06<24:07,  3.31it/s]
loss=0.1477 (0.1552): :   0% 13/4800 [00:06<22:32,  3.54it/s]
loss=0.1516 (0.1549): :   0% 13/4800 [00:06<22:32,  3.54it/s]
loss=0.1516 (0.1549): :   0% 14/4800 [00:06<21:26,  3.72it/s]
loss=0.1544 (0.1549): :   0% 14/4800 [00:07<21:26,  3.72it/s]
loss=0.1544 (0.1549): :   0% 15/4800 [00:07<26:33,  3.00it/s]
loss=0.1609 (0.1553): :   0% 15/4800 [00:07<26:33,  3.00it/s]
loss=0.1609 (0.1553): :   0% 16/4800 [00:07<24:16,  3.29it/s]
loss=0.1500 (0.1549): :   0% 16/4800 [00:07<24:16,  3.29it/s]
loss=0.1500 (0.1549): :   0% 17/4800 [00:07<22:41,  3.51it/s]
loss=0.1530 (0.1548): :   0% 17/4800 [00:07<22:41,  3.51it/s]
loss=0.1530 (0.1548): :   0% 18/4800 [00:07<21:32,  3.70it/s]
loss=0.1565 (0.1549): :   0% 18/4800 [00:08<21:32,  3.70it/s]
loss=0.1565 (0.1549): :   0% 19/4800 [00:08<20:46,  3.84it/s]
loss=0.1548 (0.1549): :   0% 19/4800 [00:08<20:46,  3.84it/s]
loss=0.1548 (0.1549): :   0% 20/4800 [00:08<26:18,  3.03it/s]
loss=0.1599 (0.1552): :   0% 20/4800 [00:08<26:18,  3.03it/s]
loss=0.1599 (0.1552): :   0% 21/4800 [00:08<24:04,  3.31it/s]
loss=0.1535 (0.1551): :   0% 21/4800 [00:09<24:04,  3.31it/s]
loss=0.1535 (0.1551): :   0% 22/4800 [00:09<22:32,  3.53it/s]
loss=0.1517 (0.1549): :   0% 22/4800 [00:09<22:32,  3.53it/s]
loss=0.1517 (0.1549): :   0% 23/4800 [00:09<21:27,  3.71it/s]
loss=0.1516 (0.1548): :   0% 23/4800 [00:09<21:27,  3.71it/s]
loss=0.1516 (0.1548): :   0% 24/4800 [00:09<20:42,  3.84it/s]
loss=0.1449 (0.1544): :   0% 24/4800 [00:10<20:42,  3.84it/s]
loss=0.1449 (0.1544): :   1% 25/4800 [00:10<26:03,  3.05it/s]
loss=0.1533 (0.1544): :   1% 25/4800 [00:10<26:03,  3.05it/s]
loss=0.1533 (0.1544): :   1% 26/4800 [00:10<23:55,  3.33it/s]
loss=0.1510 (0.1542): :   1% 26/4800 [00:10<23:55,  3.33it/s]
loss=0.1510 (0.1542): :   1% 27/4800 [00:10<22:23,  3.55it/s]
loss=0.1519 (0.1541): :   1% 27/4800 [00:10<22:23,  3.55it/s]
loss=0.1519 (0.1541): :   1% 28/4800 [00:10<21:19,  3.73it/s]
loss=0.1504 (0.1540): :   1% 28/4800 [00:11<21:19,  3.73it/s]
loss=0.1504 (0.1540): :   1% 29/4800 [00:11<20:36,  3.86it/s]
loss=0.0215 (0.1127): :   2% 82/4800 [00:27<23:45,  3.31it/s]
loss=0.0215 (0.1127): :   2% 83/4800 [00:27<22:15,  3.53it/s]
loss=0.0207 (0.1116): :   2% 83/4800 [00:27<22:15,  3.53it/s]
loss=0.0207 (0.1116): :   2% 84/4800 [00:27<21:13,  3.70it/s]
loss=0.0182 (0.1105): :   2% 84/4800 [00:28<21:13,  3.70it/s]
loss=0.0182 (0.1105): :   2% 85/4800 [00:28<20:30,  3.83it/s]
loss=0.0184 (0.1094): :   2% 85/4800 [00:28<20:30,  3.83it/s]
loss=0.0184 (0.1094): :   2% 86/4800 [00:28<25:42,  3.06it/s]
loss=0.0207 (0.1084): :   2% 86/4800 [00:28<25:42,  3.06it/s]
loss=0.0207 (0.1084): :   2% 87/4800 [00:28<23:38,  3.32it/s]
loss=0.0166 (0.1073): :   2% 87/4800 [00:29<23:38,  3.32it/s]
loss=0.0166 (0.1073): :   2% 88/4800 [00:29<22:13,  3.53it/s]
loss=0.0172 (0.1063): :   2% 88/4800 [00:29<22:13,  3.53it/s]
loss=0.0172 (0.1063): :   2% 89/4800 [00:29<21:11,  3.71it/s]
loss=0.0168 (0.1053): :   2% 89/4800 [00:29<21:11,  3.71it/s]
loss=0.0168 (0.1053): :   2% 90/4800 [00:29<20:26,  3.84it/s]
loss=0.0155 (0.1043): :   2% 90/4800 [00:29<20:26,  3.84it/s]
loss=0.0155 (0.1043): :   2% 91/4800 [00:29<19:55,  3.94it/s]
loss=0.0165 (0.1034): :   2% 91/4800 [00:30<19:55,  3.94it/s]
loss=0.0165 (0.1034): :   2% 92/4800 [00:30<25:19,  3.10it/s]
loss=0.0160 (0.1025): :   2% 92/4800 [00:30<25:19,  3.10it/s]
loss=0.0160 (0.1025): :   2% 93/4800 [00:30<23:27,  3.34it/s]
loss=0.0138 (0.1015): :   2% 93/4800 [00:30<23:27,  3.34it/s]
loss=0.0138 (0.1015): :   2% 94/4800 [00:30<22:08,  3.54it/s]
loss=0.0148 (0.1006): :   2% 94/4800 [00:30<22:08,  3.54it/s]
loss=0.0148 (0.1006): :   2% 95/4800 [00:30<21:21,  3.67it/s]
loss=0.0144 (0.0997): :   2% 95/4800 [00:31<21:21,  3.67it/s]
loss=0.0144 (0.0997): :   2% 96/4800 [00:31<20:44,  3.78it/s]
loss=0.0134 (0.0988): :   2% 96/4800 [00:31<20:44,  3.78it/s]
loss=0.0134 (0.0988): :   2% 97/4800 [00:31<25:54,  3.03it/s]
loss=0.0131 (0.0979): :   2% 97/4800 [00:31<25:54,  3.03it/s]
loss=0.0131 (0.0979): :   2% 98/4800 [00:31<24:02,  3.26it/s]
loss=0.0130 (0.0971): :   2% 98/4800 [00:32<24:02,  3.26it/s]
loss=0.0130 (0.0971): :   2% 99/4800 [00:32<22:41,  3.45it/s]
loss=0.0140 (0.0962): :   2% 99/4800 [00:32<22:41,  3.45it/s]
loss=0.0140 (0.0962): :   2% 100/4800 [00:32<21:43,  3.61it/s]
loss=0.0120 (0.0954): :   2% 100/4800 [00:32<21:43,  3.61it/s]
loss=0.0120 (0.0954): :   2% 101/4800 [00:32<21:07,  3.71it/s]
loss=0.0116 (0.0946): :   2% 101/4800 [00:33<21:07,  3.71it/s]
loss=0.0116 (0.0946): :   2% 102/4800 [00:33<28:21,  2.76it/s]
loss=0.0125 (0.0938): :   2% 102/4800 [00:33<28:21,  2.76it/s]
loss=0.0125 (0.0938): :   2% 103/4800 [00:33<25:37,  3.05it/s]
loss=0.0111 (0.0930): :   2% 103/4800 [00:33<25:37,  3.05it/s]
loss=0.0111 (0.0930): :   2% 104/4800 [00:33<23:40,  3.30it/s]
loss=0.0122 (0.0922): :   2% 104/4800 [00:33<23:40,  3.30it/s]
loss=0.0122 (0.0922): :   2% 105/4800 [00:33<22:18,  3.51it/s]
loss=0.0115 (0.0915): :   2% 105/4800 [00:34<22:18,  3.51it/s]
loss=0.0115 (0.0915): :   2% 106/4800 [00:34<21:21,  3.66it/s]
loss=0.0112 (0.0907): :   2% 106/4800 [00:34<21:21,  3.66it/s]
loss=0.0112 (0.0907): :   2% 107/4800 [00:34<29:50,  2.62it/s]
loss=0.0119 (0.0900): :   2% 107/4800 [00:35<29:50,  2.62it/s]
loss=0.0119 (0.0900): :   2% 108/4800 [00:35<26:34,  2.94it/s]
loss=0.0123 (0.0893): :   2% 108/4800 [00:35<26:34,  2.94it/s]
loss=0.0123 (0.0893): :   2% 109/4800 [00:35<24:17,  3.22it/s]
loss=0.0108 (0.0886): :   2% 109/4800 [00:35<24:17,  3.22it/s]
loss=0.0108 (0.0886): :   2% 110/4800 [00:35<22:43,  3.44it/s]
loss=0.0099 (0.0879): :   2% 110/4800 [00:35<22:43,  3.44it/s]
loss=0.0099 (0.0879): :   2% 111/4800 [00:35<21:33,  3.63it/s]
loss=0.0096 (0.0872): :   2% 111/4800 [00:36<21:33,  3.63it/s]
loss=0.0096 (0.0872): :   2% 112/4800 [00:36<27:22,  2.86it/s]
loss=0.0112 (0.0865): :   2% 112/4800 [00:36<27:22,  2.86it/s]
loss=0.0112 (0.0865): :   2% 113/4800 [00:36<24:47,  3.15it/s]
loss=0.0089 (0.0858): :   2% 113/4800 [00:36<24:47,  3.15it/s]
loss=0.0089 (0.0858): :   2% 114/4800 [00:36<23:00,  3.39it/s]
loss=0.0094 (0.0851): :   2% 114/4800 [00:37<23:00,  3.39it/s]
loss=0.0094 (0.0851): :   2% 115/4800 [00:37<21:43,  3.59it/s]
loss=0.0097 (0.0845): :   2% 115/4800 [00:37<21:43,  3.59it/s]
loss=0.0097 (0.0845): :   2% 116/4800 [00:37<20:48,  3.75it/s]
loss=0.0095 (0.0838): :   2% 116/4800 [00:37<20:48,  3.75it/s]
loss=0.0095 (0.0838): :   2% 117/4800 [00:37<26:00,  3.00it/s]
loss=0.0093 (0.0832): :   2% 117/4800 [00:38<26:00,  3.00it/s]
loss=0.0093 (0.0832): :   2% 118/4800 [00:38<23:49,  3.28it/s]
loss=0.0092 (0.0826): :   2% 118/4800 [00:38<23:49,  3.28it/s]
loss=0.0092 (0.0826): :   2% 119/4800 [00:38<22:16,  3.50it/s]
loss=0.0100 (0.0820): :   2% 119/4800 [00:38<22:16,  3.50it/s]
loss=0.0100 (0.0820): :   2% 120/4800 [00:38<21:10,  3.68it/s]
loss=0.0096 (0.0814): :   2% 120/4800 [00:38<21:10,  3.68it/s]
loss=0.0096 (0.0814): :   3% 121/4800 [00:38<20:24,  3.82it/s]
loss=0.0086 (0.0808): :   3% 121/4800 [00:39<20:24,  3.82it/s]
loss=0.0086 (0.0808): :   3% 122/4800 [00:39<25:16,  3.09it/s]
loss=0.0087 (0.0802): :   3% 122/4800 [00:39<25:16,  3.09it/s]
loss=0.0087 (0.0802): :   3% 123/4800 [00:39<23:15,  3.35it/s]
loss=0.0084 (0.0796): :   3% 123/4800 [00:39<23:15,  3.35it/s]
loss=0.0084 (0.0796): :   3% 124/4800 [00:39<21:51,  3.57it/s]
loss=0.0092 (0.0791): :   3% 124/4800 [00:39<21:51,  3.57it/s]
loss=0.0092 (0.0791): :   3% 125/4800 [00:39<20:54,  3.73it/s]
loss=0.0082 (0.0785): :   3% 125/4800 [00:40<20:54,  3.73it/s]
loss=0.0082 (0.0785): :   3% 126/4800 [00:40<20:11,  3.86it/s]
loss=0.0076 (0.0779): :   3% 126/4800 [00:40<20:11,  3.86it/s]
loss=0.0076 (0.0779): :   3% 127/4800 [00:40<25:08,  3.10it/s]
loss=0.0082 (0.0774): :   3% 127/4800 [00:40<25:08,  3.10it/s]
loss=0.0082 (0.0774): :   3% 128/4800 [00:40<23:22,  3.33it/s]
loss=0.0085 (0.0769): :   3% 128/4800 [00:41<23:22,  3.33it/s]
loss=0.0085 (0.0769): :   3% 129/4800 [00:41<21:54,  3.55it/s]
loss=0.0074 (0.0763): :   3% 129/4800 [00:41<21:54,  3.55it/s]
loss=0.0074 (0.0763): :   3% 130/4800 [00:41<20:52,  3.73it/s]
loss=0.0091 (0.0758): :   3% 130/4800 [00:41<20:52,  3.73it/s]
loss=0.0091 (0.0758): :   3% 131/4800 [00:41<20:09,  3.86it/s]
loss=0.0086 (0.0753): :   3% 131/4800 [00:42<20:09,  3.86it/s]
loss=0.0086 (0.0753): :   3% 132/4800 [00:42<25:08,  3.09it/s]
loss=0.0083 (0.0748): :   3% 132/4800 [00:42<25:08,  3.09it/s]
loss=0.0083 (0.0748): :   3% 133/4800 [00:42<23:08,  3.36it/s]
loss=0.0075 (0.0743): :   3% 133/4800 [00:42<23:08,  3.36it/s]
loss=0.0075 (0.0743): :   3% 134/4800 [00:42<21:42,  3.58it/s]
loss=0.0064 (0.0738): :   3% 134/4800 [00:42<21:42,  3.58it/s]
loss=0.0064 (0.0738): :   3% 135/4800 [00:42<20:43,  3.75it/s]
loss=0.0070 (0.0733): :   3% 135/4800 [00:43<20:43,  3.75it/s]
loss=0.0070 (0.0733): :   3% 136/4800 [00:43<20:02,  3.88it/s]
loss=0.0077 (0.0728): :   3% 136/4800 [00:43<20:02,  3.88it/s]
loss=0.0077 (0.0728): :   3% 137/4800 [00:43<25:02,  3.10it/s]
loss=0.0075 (0.0724): :   3% 137/4800 [00:43<25:02,  3.10it/s]
loss=0.0075 (0.0724): :   3% 138/4800 [00:43<23:03,  3.37it/s]
loss=0.0074 (0.0719): :   3% 138/4800 [00:43<23:03,  3.37it/s]
loss=0.0074 (0.0719): :   3% 139/4800 [00:43<21:39,  3.59it/s]
loss=0.0073 (0.0714): :   3% 139/4800 [00:44<21:39,  3.59it/s]
loss=0.0073 (0.0714): :   3% 140/4800 [00:44<20:40,  3.76it/s]
loss=0.0075 (0.0710): :   3% 140/4800 [00:44<20:40,  3.76it/s]
loss=0.0075 (0.0710): :   3% 141/4800 [00:44<20:00,  3.88it/s]
loss=0.0069 (0.0705): :   3% 141/4800 [00:44<20:00,  3.88it/s]
loss=0.0069 (0.0705): :   3% 142/4800 [00:44<19:30,  3.98it/s]
loss=0.0068 (0.0701): :   3% 142/4800 [00:45<19:30,  3.98it/s]
loss=0.0068 (0.0701): :   3% 143/4800 [00:45<24:28,  3.17it/s]
loss=0.0063 (0.0696): :   3% 143/4800 [00:45<24:28,  3.17it/s]
loss=0.0063 (0.0696): :   3% 144/4800 [00:45<22:38,  3.43it/s]
loss=0.0066 (0.0692): :   3% 144/4800 [00:45<22:38,  3.43it/s]
loss=0.0066 (0.0692): :   3% 145/4800 [00:45<21:22,  3.63it/s]
loss=0.0073 (0.0688): :   3% 145/4800 [00:45<21:22,  3.63it/s]
loss=0.0073 (0.0688): :   3% 146/4800 [00:45<20:28,  3.79it/s]
loss=0.0063 (0.0684): :   3% 146/4800 [00:46<20:28,  3.79it/s]
loss=0.0063 (0.0684): :   3% 147/4800 [00:46<19:49,  3.91it/s]
loss=0.0074 (0.0679): :   3% 147/4800 [00:46<19:49,  3.91it/s]
loss=0.0074 (0.0679): :   3% 148/4800 [00:46<24:45,  3.13it/s]
loss=0.0070 (0.0675): :   3% 148/4800 [00:46<24:45,  3.13it/s]
loss=0.0070 (0.0675): :   3% 149/4800 [00:46<22:51,  3.39it/s]
loss=0.0060 (0.0671): :   3% 149/4800 [00:47<22:51,  3.39it/s]
loss=0.0060 (0.0671): :   3% 150/4800 [00:47<21:32,  3.60it/s]
loss=0.0064 (0.0667): :   3% 150/4800 [00:47<21:32,  3.60it/s]
loss=0.0064 (0.0667): :   3% 151/4800 [00:47<20:34,  3.77it/s]
loss=0.0064 (0.0663): :   3% 151/4800 [00:47<20:34,  3.77it/s]
loss=0.0064 (0.0663): :   3% 152/4800 [00:47<19:55,  3.89it/s]
loss=0.0069 (0.0659): :   3% 152/4800 [00:48<19:55,  3.89it/s]
loss=0.0069 (0.0659): :   3% 153/4800 [00:48<24:58,  3.10it/s]
loss=0.0072 (0.0656): :   3% 153/4800 [00:48<24:58,  3.10it/s]
loss=0.0072 (0.0656): :   3% 154/4800 [00:48<23:06,  3.35it/s]
loss=0.0068 (0.0652): :   3% 154/4800 [00:48<23:06,  3.35it/s]
loss=0.0068 (0.0652): :   3% 155/4800 [00:48<21:46,  3.56it/s]
loss=0.0066 (0.0648): :   3% 155/4800 [00:48<21:46,  3.56it/s]
loss=0.0066 (0.0648): :   3% 156/4800 [00:48<20:47,  3.72it/s]
loss=0.0069 (0.0644): :   3% 156/4800 [00:48<20:47,  3.72it/s]
loss=0.0069 (0.0644): :   3% 157/4800 [00:48<20:07,  3.85it/s]
loss=0.0063 (0.0641): :   3% 157/4800 [00:49<20:07,  3.85it/s]
loss=0.0063 (0.0641): :   3% 158/4800 [00:49<25:09,  3.07it/s]
loss=0.0069 (0.0637): :   3% 158/4800 [00:49<25:09,  3.07it/s]
loss=0.0069 (0.0637): :   3% 159/4800 [00:49<23:19,  3.32it/s]
loss=0.0058 (0.0633): :   3% 159/4800 [00:49<23:19,  3.32it/s]
loss=0.0058 (0.0633): :   3% 160/4800 [00:49<21:59,  3.52it/s]
loss=0.0063 (0.0630): :   3% 160/4800 [00:50<21:59,  3.52it/s]
loss=0.0063 (0.0630): :   3% 161/4800 [00:50<21:01,  3.68it/s]
loss=0.0064 (0.0626): :   3% 161/4800 [00:50<21:01,  3.68it/s]
loss=0.0064 (0.0626): :   3% 162/4800 [00:50<20:29,  3.77it/s]
loss=0.0064 (0.0623): :   3% 162/4800 [00:50<20:29,  3.77it/s]
loss=0.0064 (0.0623): :   3% 163/4800 [00:50<25:54,  2.98it/s]
loss=0.0066 (0.0620): :   3% 163/4800 [00:51<25:54,  2.98it/s]
loss=0.0066 (0.0620): :   3% 164/4800 [00:51<23:51,  3.24it/s]
loss=0.0061 (0.0616): :   3% 164/4800 [00:51<23:51,  3.24it/s]
loss=0.0061 (0.0616): :   3% 165/4800 [00:51<22:24,  3.45it/s]
loss=0.0058 (0.0613): :   3% 165/4800 [00:51<22:24,  3.45it/s]
loss=0.0058 (0.0613): :   3% 166/4800 [00:51<21:22,  3.61it/s]
loss=0.0059 (0.0609): :   3% 166/4800 [00:51<21:22,  3.61it/s]
loss=0.0059 (0.0609): :   3% 167/4800 [00:51<20:37,  3.74it/s]
loss=0.0059 (0.0606): :   3% 167/4800 [00:52<20:37,  3.74it/s]
loss=0.0059 (0.0606): :   4% 168/4800 [00:52<27:23,  2.82it/s]
loss=0.0063 (0.0603): :   4% 168/4800 [00:52<27:23,  2.82it/s]
loss=0.0063 (0.0603): :   4% 169/4800 [00:52<24:49,  3.11it/s]
loss=0.0055 (0.0600): :   4% 169/4800 [00:52<24:49,  3.11it/s]
loss=0.0055 (0.0600): :   4% 170/4800 [00:52<23:01,  3.35it/s]
loss=0.0063 (0.0597): :   4% 170/4800 [00:53<23:01,  3.35it/s]
loss=0.0063 (0.0597): :   4% 171/4800 [00:53<21:43,  3.55it/s]
loss=0.0057 (0.0593): :   4% 171/4800 [00:53<21:43,  3.55it/s]
loss=0.0057 (0.0593): :   4% 172/4800 [00:53<20:47,  3.71it/s]
loss=0.0063 (0.0590): :   4% 172/4800 [00:54<20:47,  3.71it/s]
loss=0.0063 (0.0590): :   4% 173/4800 [00:54<29:21,  2.63it/s]
loss=0.0055 (0.0587): :   4% 173/4800 [00:54<29:21,  2.63it/s]
loss=0.0055 (0.0587): :   4% 174/4800 [00:54<26:08,  2.95it/s]
loss=0.0064 (0.0584): :   4% 174/4800 [00:54<26:08,  2.95it/s]
loss=0.0064 (0.0584): :   4% 175/4800 [00:54<23:54,  3.22it/s]
loss=0.0060 (0.0581): :   4% 175/4800 [00:54<23:54,  3.22it/s]
loss=0.0060 (0.0581): :   4% 176/4800 [00:54<22:19,  3.45it/s]
loss=0.0061 (0.0578): :   4% 176/4800 [00:55<22:19,  3.45it/s]
loss=0.0061 (0.0578): :   4% 177/4800 [00:55<21:26,  3.59it/s]
loss=0.0062 (0.0576): :   4% 177/4800 [00:55<21:26,  3.59it/s]
loss=0.0062 (0.0576): :   4% 178/4800 [00:55<27:07,  2.84it/s]
loss=0.0062 (0.0573): :   4% 178/4800 [00:55<27:07,  2.84it/s]
loss=0.0062 (0.0573): :   4% 179/4800 [00:55<24:31,  3.14it/s]
loss=0.0065 (0.0570): :   4% 179/4800 [00:56<24:31,  3.14it/s]
loss=0.0065 (0.0570): :   4% 180/4800 [00:56<22:42,  3.39it/s]
loss=0.0057 (0.0567): :   4% 180/4800 [00:56<22:42,  3.39it/s]
loss=0.0057 (0.0567): :   4% 181/4800 [00:56<21:26,  3.59it/s]
loss=0.0064 (0.0564): :   4% 181/4800 [00:56<21:26,  3.59it/s]
loss=0.0064 (0.0564): :   4% 182/4800 [00:56<20:33,  3.74it/s]
loss=0.0057 (0.0561): :   4% 182/4800 [00:57<20:33,  3.74it/s]
loss=0.0057 (0.0561): :   4% 183/4800 [00:57<25:27,  3.02it/s]
loss=0.0053 (0.0559): :   4% 183/4800 [00:57<25:27,  3.02it/s]
loss=0.0053 (0.0559): :   4% 184/4800 [00:57<23:21,  3.29it/s]
loss=0.0047 (0.0556): :   4% 184/4800 [00:57<23:21,  3.29it/s]
loss=0.0047 (0.0556): :   4% 185/4800 [00:57<21:57,  3.50it/s]
loss=0.0050 (0.0553): :   4% 185/4800 [00:57<21:57,  3.50it/s]
loss=0.0050 (0.0553): :   4% 186/4800 [00:57<20:52,  3.68it/s]
loss=0.0057 (0.0551): :   4% 186/4800 [00:57<20:52,  3.68it/s]
loss=0.0057 (0.0551): :   4% 187/4800 [00:57<20:06,  3.82it/s]
loss=0.0057 (0.0548): :   4% 187/4800 [00:58<20:06,  3.82it/s]
loss=0.0057 (0.0548): :   4% 188/4800 [00:58<25:32,  3.01it/s]
loss=0.0064 (0.0545): :   4% 188/4800 [00:58<25:32,  3.01it/s]
loss=0.0064 (0.0545): :   4% 189/4800 [00:58<23:41,  3.24it/s]
loss=0.0060 (0.0543): :   4% 189/4800 [00:58<23:41,  3.24it/s]
loss=0.0060 (0.0543): :   4% 190/4800 [00:58<22:06,  3.48it/s]
loss=0.0057 (0.0540): :   4% 190/4800 [00:59<22:06,  3.48it/s]
loss=0.0057 (0.0540): :   4% 191/4800 [00:59<20:59,  3.66it/s]
loss=0.0053 (0.0538): :   4% 191/4800 [00:59<20:59,  3.66it/s]
loss=0.0053 (0.0538): :   4% 192/4800 [00:59<20:10,  3.81it/s]
loss=0.0049 (0.0535): :   4% 192/4800 [00:59<20:10,  3.81it/s]
loss=0.0049 (0.0535): :   4% 193/4800 [00:59<19:35,  3.92it/s]
loss=0.0058 (0.0533): :   4% 193/4800 [01:00<19:35,  3.92it/s]
loss=0.0058 (0.0533): :   4% 194/4800 [01:00<24:47,  3.10it/s]
loss=0.0061 (0.0530): :   4% 194/4800 [01:00<24:47,  3.10it/s]
loss=0.0061 (0.0530): :   4% 195/4800 [01:00<22:50,  3.36it/s]
loss=0.0061 (0.0528): :   4% 195/4800 [01:00<22:50,  3.36it/s]
loss=0.0061 (0.0528): :   4% 196/4800 [01:00<21:28,  3.57it/s]
